k,MD,LM,model,accuracy,f1_0,f1_1,macro_avg_f1,macro_avg_precision,macro_avg_recall,precision_0,precision_1,recall_0,recall_1,weighted_avg_f1,weighted_avg_precision,weighted_avg_recall
32,228506,52677.2274,svm,0.74072265625,0.8080954101915432,0.600451467268623,0.7042734387300831,0.6984310780079698,0.7546355082995486,0.9096826688364524,0.48717948717948717,0.7269180754226268,0.7823529411764706,0.7563872017488239,0.8044694741855479,0.74072265625
64,254101,63777.3726,svm,0.673828125,0.7363851617995264,0.5723431498079385,0.6543641558037325,0.6808259654587934,0.7415512889160866,0.9367469879518072,0.42490494296577946,0.606631989596879,0.8764705882352941,0.6955348560789649,0.809286322452357,0.673828125
128,293020,74993.6829,svm,0.67919921875,0.743593079224665,0.5716148663334057,0.6576039727790354,0.6791175396302054,0.7394481416320321,0.9300357956394403,0.4281992836209704,0.6194191590810576,0.8594771241830066,0.7007664734753769,0.805066742353591,0.67919921875
256,317096,78544.4274,svm,0.6796875,0.7488514548238897,0.5579514824797843,0.653401468651837,0.6678329299209618,0.723827736556261,0.9106145251396648,0.42505133470225875,0.635890767230169,0.8117647058823529,0.7013128874921056,0.7896979103334748,0.6796875
512,340180,88759.1683,svm,0.6624348958333334,0.7285340314136126,0.5537865748709122,0.6411603031422624,0.6662302804812854,0.7221703766031771,0.9196959682749505,0.4127645926876203,0.6031642826181187,0.8411764705882353,0.6850178190909674,0.7934581745495898,0.6624348958333333
1024,360136,104722.5524,svm,0.7529296875,0.823447313328681,0.5886178861788618,0.7060325997537714,0.6956659973226238,0.7385170453096713,0.8885542168674698,0.5027777777777778,0.7672301690507152,0.7098039215686275,0.7649692821536772,0.7924868418988454,0.7529296875
1,0,0.0,xgb,0.8175455729166666,0.8747066055661116,0.6644717150553726,0.7695891603107421,0.7579952524912824,0.7867806420357479,0.9030694668820679,0.6129210381004969,0.8480710879930646,0.7254901960784313,0.8223531904486913,0.8308157077616573,0.8175455729166666
2,106093,31662.8056,xgb,0.8116861979166666,0.8719991149463436,0.6438904278239458,0.7579447713851447,0.7495573894952722,0.7688998529624247,0.8906214689265537,0.6084933100639907,0.8541395752058951,0.6836601307189543,0.8151947055555122,0.8203649449910522,0.8116861979166666
4,148709,34504.5889,xgb,0.79833984375,0.8599208592425099,0.6401394133023526,0.7500301362724313,0.7374502140685402,0.7722460202112922,0.8988418813519262,0.5760585467851542,0.8242306025140875,0.7202614379084967,0.8051901280757715,0.8184612658103961,0.79833984375
8,171976,40786.9258,xgb,0.76953125,0.8354636300255636,0.6154263986963606,0.7254450143609621,0.7135190455259962,0.7598366438035986,0.9005511022044088,0.5264869888475836,0.7791504117902037,0.7405228758169935,0.7806692023019828,0.8074003708509027,0.76953125
16,205556,47661.1028,xgb,0.7672526041666666,0.8352534562211982,0.6036585365853658,0.7194559964032821,0.707800597172638,0.7487085341288662,0.8915395966551893,0.5240615976900866,0.7856523623753793,0.711764705882353,0.7775808932259469,0.800028962147278,0.7672526041666666
32,228506,52677.2274,xgb,0.759765625,0.826148409893993,0.6113744075829384,0.7187614087384657,0.7083517617573345,0.7594507764093934,0.9047987616099071,0.5119047619047619,0.7600780234070221,0.7588235294117647,0.7726646495528612,0.8069589472302079,0.759765625
64,254101,63777.3726,xgb,0.69189453125,0.7565273311897106,0.5805450919565699,0.6685362115731402,0.6847784922321076,0.746808519680087,0.9304017715912686,0.4391552128729467,0.6374078890333766,0.8562091503267973,0.7127036290369265,0.8080698648791865,0.69189453125
128,293020,74993.6829,xgb,0.6749674479166666,0.7376855378957047,0.5728342245989305,0.6552598812473176,0.6810336354831579,0.741872986732621,0.9363121040346782,0.4257551669316375,0.6085825747724317,0.8751633986928105,0.6966336971821526,0.8091714605178076,0.6749674479166666
256,317096,78544.4274,xgb,0.6609700520833334,0.7235567352355674,0.5617504733852304,0.642653604310399,0.673726201706474,0.7316797980570642,0.9332420403971242,0.41421036301582376,0.5908105765062852,0.8725490196078431,0.6832631837005714,0.8039909879242417,0.6609700520833334
512,340180,88759.1683,xgb,0.6624348958333334,0.7285340314136126,0.5537865748709122,0.6411603031422624,0.6662302804812854,0.7221703766031771,0.9196959682749505,0.4127645926876203,0.6031642826181187,0.8411764705882353,0.6850178190909674,0.7934581745495898,0.6624348958333333
1024,360136,104722.5524,xgb,0.7529296875,0.823447313328681,0.5886178861788618,0.7060325997537714,0.6956659973226238,0.7385170453096713,0.8885542168674698,0.5027777777777778,0.7672301690507152,0.7098039215686275,0.7649692821536772,0.7924868418988454,0.7529296875
